,interest_rate,repayment_period,credit_score,age,education,marital_status,loan_frequence,succ_frequence,payoff_frequence,overdue_times,baddle_overdue_times,income,house,house_loan,car,car_loan,company_type,company_scale,workcity,work_duration,credit_report,identity_authentication,job_authentication,income_authentication,site_authentication,topic,repay_result,loan_amount,avaiable_amount,total_loan_amount,need_to_payoff,overdue_amount
704,12.6,24,6,3,2,2,2,2,1,0,0,3,0,0,0,0,2,1,52,1,0,1,0,0,1,6.0,1.0,0.046049764232369866,-0.21395798100874744,-0.11305599014803129,-0.15631913823855415,-0.11469927775759996
707,11.0,12,6,3,2,1,1,1,1,0,0,5,0,0,0,0,19,2,44,2,0,1,0,0,1,6.0,1.0,0.10120858682984472,-0.21395798100874744,-0.08429632890671343,-0.15631913823855415,-0.11469927775759996
708,10.0,10,6,3,3,2,1,1,1,0,0,6,0,0,0,0,19,2,44,2,0,1,0,0,1,5.0,1.0,-0.6654990472750557,-0.21395798100874744,-0.48405562016103165,-0.15631913823855415,-0.11469927775759996
711,12.0,3,3,2,1,2,8,5,5,1,0,6,0,0,1,0,18,1,62,3,0,0,0,0,0,4.0,1.0,-0.6654990472750557,-0.21395798100874744,-0.48405562016103165,-0.15631913823855415,-0.11469927775759996
712,15.0,12,3,5,1,2,5,3,3,0,0,4,0,0,1,0,20,2,44,3,0,1,0,0,0,4.0,1.0,-0.028414646274221186,-0.21395798100874744,-0.1518815328238104,-0.15631913823855415,-0.11469927775759996
714,11.0,6,1,3,1,2,1,1,0,4,1,4,1,0,0,0,8,2,33,3,0,1,0,0,0,4.0,0.0,1.149226216181867,-0.21395798100874744,0.46213723467832585,-0.15631913823855415,-0.11469927775759996
715,12.0,18,6,2,2,2,1,1,1,0,0,3,0,0,0,0,19,1,21,1,0,1,0,0,1,2.0,1.0,-0.4090105221967977,-0.21395798100874744,-0.3503231953889036,-0.15631913823855415,-0.11469927775759996
716,13.2,36,6,4,3,2,1,1,1,0,0,3,1,0,0,0,15,1,21,1,0,0,0,0,0,4.0,1.0,-0.5689711077294748,3.0776462140482126,0.6950904907330006,3.7071549271337414,-0.11469927775759996
717,13.2,36,6,3,2,2,1,1,1,0,0,3,1,1,1,0,2,1,32,1,0,1,0,0,1,4.0,1.0,-1.2060555087303093,0.12149212804164337,-0.6508616553606752,0.16437816447731368,0.6777414733811293
720,12.0,18,6,3,2,2,1,1,1,0,0,6,0,0,1,1,12,2,32,1,0,0,0,0,0,4.0,1.0,1.924207673676389,-0.21395798100874744,0.8662104751188417,-0.15631913823855415,-0.11469927775759996
