,interest_rate,repayment_period,credit_score,age,education,marital_status,loan_frequence,succ_frequence,payoff_frequence,overdue_times,baddle_overdue_times,income,house,house_loan,car,car_loan,company_type,company_scale,workcity,work_duration,credit_report,identity_authentication,job_authentication,income_authentication,site_authentication,topic,borrow_result,loan_amount,avaiable_amount,total_loan_amount,need_to_payoff,overdue_amount
4652,13.0,36,2,2,2,2,2,1,1,1,0,3,1,1,0,0,4,2,36,3,1,1,1,1,0,4.0,0,-0.17893236323911219,-0.3314537736561302,-0.2048256846615005,-0.29284316198753574,0.24707921518359058
4653,13.0,36,1,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,2.706020790520271,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4654,13.0,36,1,1,2,1,1,0,0,0,0,5,0,0,0,0,0,0,44,2,0,1,0,0,0,5.0,0,0.3980582675127645,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4655,13.0,24,1,2,2,1,1,0,0,0,0,4,0,0,0,0,8,4,51,3,0,0,0,0,0,4.0,0,-0.2250916136992623,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4656,13.0,24,1,4,3,2,3,0,0,0,0,3,1,0,0,0,15,3,43,4,0,1,0,0,0,2.0,0,-0.40972861553986284,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4657,13.0,24,1,2,1,2,3,0,0,0,0,4,0,0,0,0,19,1,34,2,0,0,0,0,0,6.0,0,0.05186388906163849,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4658,13.0,12,1,2,1,1,2,0,0,0,0,3,1,0,0,0,20,2,41,1,0,0,0,0,0,2.0,0,-0.17893236323911219,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4659,13.0,12,1,2,1,2,2,0,0,0,0,3,1,0,0,0,20,2,42,2,0,0,0,0,0,6.0,0,-0.5251267416902382,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4660,10.0,3,1,2,1,2,8,0,0,0,0,2,1,0,0,0,8,3,42,2,0,1,0,0,0,4.0,0,-0.7213035561458763,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4661,13.0,12,1,2,2,2,1,0,0,0,0,3,0,0,0,0,18,4,43,2,0,0,0,0,0,2.0,0,-0.17893236323911219,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4662,13.0,36,1,2,2,1,5,0,0,0,0,4,0,0,0,0,1,3,44,2,0,0,0,0,0,2.0,0,0.16726201521201384,-0.3314537736561302,-0.40077501943914007,-0.29284316198753574,-0.0772747905195149
4663,13.0,12,1,3,2,2,5,2,2,4,0,5,1,1,1,0,18,1,35,2,1,1,1,0,0,5.0,0,0.9750488982646413,-0.3314537736561302,2.0133207850213792,-0.29284316198753574,-0.0772747905195149
