webpage,loan_title,loan_description,loan_amount,interest_rate,repayment_period,loan_status,credit_score,age,education,marital_status,loan_frequence,succ_frequence,payoff_frequence,avaiable_amount,total_loan_amount,need_to_payoff,overdue_amount,overdue_times,baddle_overdue_times,income,house,house_loan,car,car_loan,company_type,company_scale,workcity,work_duration,credit_report,identity_authentication,job_authentication,income_authentication,site_authentication
http://www.we.com/loan/210726,圹大经营,现在有生意没钱 生意太好了没进货资金 没办法 你看你的利息鞥地点吗,500000,15,24,0,1,2,1,2,3,0,0,0,0,0,0,0,0,6,1,1,0,0,20,2,41,2,0,0,0,0,0
http://www.we.com/loan/210727,短期周转！,短期周转！支持支持支持支持支持！一定按时还款！,10000,18,3,0,1,2,2,2,3,0,0,0,0,0,0,0,0,4,1,1,1,0,14,4,51,1,0,0,0,0,0
http://www.we.com/loan/210728,房子装修,本人是事业单位在职员工，上班有十年，现在在老家新盖了一栋楼房，主体框架已经盖成，需要装修，目前资金还缺少一些！,20000,18,24,0,1,2,2,1,10,1,0,11000,11000,2937,2937,6,1,3,0,0,0,0,15,4,52,4,0,1,0,0,0
http://www.we.com/loan/210729,爱人做资金周转,公司职员，现居山东省潍坊市，从事卫生、社会保障和社会福利业行业，工作收入稳定，贷款用于爱人做资金周转。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,55400,13.2,36,1,6,3,3,2,1,1,0,55400,55400,16841.6,0,0,0,4,1,1,0,0,9,1,37,1,0,0,0,0,0
http://www.we.com/loan/210730,做生意资金周转,公司职员，现居山东省潍坊市，从事公共管理、社会组织和国际组织行业，工作收入稳定，贷款用于做生意资金周转。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,55400,13.2,36,1,6,4,3,2,1,1,0,55400,55400,16841.6,0,0,0,4,1,0,0,0,6,1,37,1,0,0,0,0,0
http://www.we.com/loan/210731,资金周转,公司职员，现居重庆省重庆市，从事电力、燃气及水的生产和供应业行业，工作收入稳定，贷款用于资金周转。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,93400,13.2,36,1,6,3,1,2,1,1,0,93400,93400,28393.6,0,0,0,5,1,1,1,1,16,1,50,1,0,0,0,0,0
http://www.we.com/loan/210732,资金周转,公司法人，现居江苏省苏州市，从事制造业行业，经营稳定，收入良好，贷款用于资金周转。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,76100,12,18,2,6,3,1,2,1,1,1,0,76100,0,0,0,0,6,0,0,0,0,8,2,32,1,0,0,0,0,0
http://www.we.com/loan/210733,购买货物原料,个体业主，现居山东省潍坊市，从事批发和零售业行业，经营稳定，收入良好，贷款用于购买货物原料。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,88700,13.2,36,1,6,2,2,2,1,1,0,88700,88700,26964.8,0,0,0,4,1,1,0,0,18,1,37,1,0,0,0,0,0
http://www.we.com/loan/210734,资金周转,公司职员，现居重庆省重庆市，从事制造业行业，工作收入稳定，贷款用于资金周转。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,61500,13.2,36,2,6,2,3,1,1,1,1,0,61500,0,0,0,0,4,1,1,0,0,8,1,50,1,0,1,0,0,1
http://www.we.com/loan/210735,日常生活消费,公司职员，现居江苏省南通市，从事信息传输、计算机服务和软件业行业，工作收入稳定，贷款用于日常生活消费。上述信息已经实地认证方友众信业公司考察认证。同时，经审核借款人所提供资料真实有效，符合人人贷的借款审核标准。,61500,13.2,36,1,6,3,3,2,1,1,0,61500,61500,18696,0,0,0,5,1,0,1,0,1,1,32,1,0,1,0,0,1
